Date,Steps,Total Floors,Floors Ascended,Floors Descended
04/04/15,3206,18,10,8
03/04/15,4814,33,16,17
02/04/15,16112,11,6,5
01/04/15,8963,16,5,11
31/03/15,14822,77,33,44
30/03/15,14750,16,5,11
29/03/15,12774,45,22,23
28/03/15,26042,247,114,133
27/03/15,2432,24,11,13
26/03/15,2370,23,13,10
25/03/15,4711,38,20,18
24/03/15,2422,28,15,13
23/03/15,2254,22,12,10
22/03/15,6985,61,30,31
21/03/15,23039,209,100,109
20/03/15,1965,26,13,13
19/03/15,2018,24,12,12
18/03/15,4103,23,12,11
17/03/15,3887,12,7,5
16/03/15,1314,15,8,7
15/03/15,13041,70,33,37
14/03/15,17733,135,63,72
13/03/15,2730,25,12,13
12/03/15,1653,16,8,8
11/03/15,3625,19,11,8
10/03/15,1527,19,10,9
09/03/15,2734,19,8,11
08/03/15,13903,155,76,79
07/03/15,13783,262,131,131
06/03/15,2070,22,9,13
05/03/15,2588,21,10,11
04/03/15,1690,23,11,12
03/03/15,2222,28,15,13
02/03/15,2197,22,8,14
01/03/15,14374,80,39,41
28/02/15,5712,30,13,17
27/02/15,2258,18,11,7
26/02/15,1951,20,10,10
25/02/15,2342,22,12,10
24/02/15,1845,17,11,6
23/02/15,1898,15,6,9
22/02/15,5460,49,15,34
21/02/15,2020,21,10,11
20/02/15,2997,30,14,16
19/02/15,7253,54,26,28
18/02/15,2432,20,10,10
17/02/15,1965,21,9,12
16/02/15,1980,14,6,8
15/02/15,8648,158,64,94
14/02/15,4776,23,12,11
13/02/15,2101,24,8,16
12/02/15,2114,22,12,10
11/02/15,2465,21,12,9
10/02/15,3027,27,12,15
09/02/15,1379,15,10,5
08/02/15,6666,81,40,41
07/02/15,10158,88,41,47
06/02/15,1447,11,6,5
05/02/15,2163,27,13,14
04/02/15,2158,31,16,15
03/02/15,1867,17,6,11
02/02/15,1635,10,5,5
01/02/15,6316,49,27,22
31/01/15,2093,8,5,3
30/01/15,2381,17,7,10
29/01/15,1739,21,11,10
28/01/15,2575,13,6,7
27/01/15,1559,19,9,10
26/01/15,1990,15,8,7
25/01/15,6994,213,103,110
24/01/15,15343,229,108,121
23/01/15,1965,18,9,9
22/01/15,1975,25,14,11
21/01/15,2002,27,15,12
20/01/15,1283,14,8,6
19/01/15,1481,15,7,8
18/01/15,1444,11,5,6
17/01/15,1416,9,4,5
16/01/15,2596,34,15,19
15/01/15,2557,30,15,15
14/01/15,2662,17,9,8
13/01/15,1281,14,7,7
12/01/15,1751,17,8,9
11/01/15,8495,195,89,106
